,Lead Origin,Lead Source,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Lead Quality,City,Last Notable Activity,A free copy of Mastering The Interview,Do Not Email,Converted
7419,Landing Page Submission,Google,10.0,575,3.33,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
7420,API,Organic Search,4.0,1823,4.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
7421,Landing Page Submission,Direct Traffic,27.0,212,2.45,Page Visited on Website,Might be,Mumbai,Page Visited on Website,Yes,Yes,1
7422,API,Google,5.0,164,2.5,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
7423,API,Google,3.0,1563,1.5,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
7424,Landing Page Submission,Direct Traffic,8.0,311,4.0,SMS Sent,Might be,Other Metro Cities,SMS Sent,Yes,No,1
7425,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7426,API,Google,2.0,30,2.0,Email Bounced,Might be,Mumbai,Modified,No,Yes,0
7427,Landing Page Submission,Organic Search,4.0,1866,4.0,Unsubscribed,High in Relevance,Mumbai,Unsubscribed,Yes,Yes,1
7428,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7429,Landing Page Submission,Direct Traffic,2.0,339,2.0,Email Opened,Worst,Other Cities of Maharashtra,Email Opened,Yes,No,0
7430,Landing Page Submission,Google,4.0,173,4.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7431,Landing Page Submission,Direct Traffic,3.0,331,1.5,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
7432,Landing Page Submission,Google,2.0,1277,2.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
7433,API,Google,2.0,1881,2.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,1
7434,API,Google,1.0,174,1.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
7435,API,Olark Chat,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
7436,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7437,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7438,Landing Page Submission,Google,6.0,1104,6.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,1
7439,Landing Page Submission,Press_Release,6.0,358,6.0,Page Visited on Website,Worst,Mumbai,Modified,Yes,Yes,0
7440,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
7441,API,Google,2.0,15,1.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,1
7442,API,Google,2.0,1627,2.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7443,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,0
7444,Landing Page Submission,Direct Traffic,1.0,353,1.0,Email Bounced,Not Sure,Mumbai,Modified,Yes,Yes,0
7445,API,Google,5.0,1374,2.5,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
7446,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7447,API,Google,2.0,871,2.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
7448,Landing Page Submission,Direct Traffic,5.0,933,5.0,SMS Sent,Might be,Mumbai,SMS Sent,Yes,No,1
7449,Landing Page Submission,Direct Traffic,1.0,396,1.0,Converted to Lead,Low in Relevance,Other Cities,Modified,Yes,No,1
7450,API,Olark Chat,2.0,1062,1.0,SMS Sent,High in Relevance,Mumbai,SMS Sent,No,No,1
7451,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7452,Landing Page Submission,Google,6.0,798,6.0,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
7453,Landing Page Submission,Organic Search,3.0,1090,3.0,SMS Sent,Might be,Other Metro Cities,SMS Sent,No,No,1
7454,API,Olark Chat,0.0,0,0.0,Email Opened,High in Relevance,Other Cities,Email Opened,No,No,1
7455,Landing Page Submission,Google,4.0,1285,4.0,SMS Sent,Not Sure,Other Cities,SMS Sent,No,No,1
7456,Landing Page Submission,Direct Traffic,6.0,86,6.0,Email Opened,High in Relevance,Mumbai,Modified,Yes,No,1
7457,API,Organic Search,5.0,193,5.0,Email Opened,High in Relevance,Mumbai,Modified,No,No,0
7458,Landing Page Submission,Direct Traffic,3.0,1513,3.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,1
7459,Landing Page Submission,Direct Traffic,2.0,133,2.0,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,0
7460,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7461,Landing Page Submission,Organic Search,5.0,124,2.5,SMS Sent,Not Sure,Mumbai,Modified,No,No,0
7462,Landing Page Submission,Organic Search,9.0,414,9.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,0
7463,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7464,API,Olark Chat,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,Modified,No,No,0
7465,Landing Page Submission,Organic Search,3.0,2,3.0,SMS Sent,Not Sure,Mumbai,Modified,No,No,0
7466,Landing Page Submission,Direct Traffic,4.0,1025,4.0,SMS Sent,Not Sure,Other Cities,SMS Sent,Yes,No,1
7467,Lead Add Form,Welingak Website,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
7468,Landing Page Submission,Direct Traffic,5.0,1224,5.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,0
7469,Landing Page Submission,Direct Traffic,10.0,1798,5.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
7470,Landing Page Submission,Organic Search,5.0,1722,5.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
7471,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,1
7472,Landing Page Submission,Direct Traffic,2.0,1386,2.0,SMS Sent,High in Relevance,Thane & Outskirts,SMS Sent,Yes,No,1
7473,Landing Page Submission,Organic Search,4.0,188,4.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,0
7474,Landing Page Submission,Direct Traffic,4.0,503,4.0,Email Bounced,Not Sure,Mumbai,Modified,Yes,Yes,0
7475,API,Google,2.0,128,1.0,Olark Chat Conversation,Worst,Mumbai,Modified,No,No,0
7476,API,Google,2.0,1136,2.0,SMS Sent,High in Relevance,Mumbai,SMS Sent,No,Yes,1
7477,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,0
7478,Landing Page Submission,Organic Search,5.0,191,5.0,SMS Sent,Not Sure,Mumbai,Modified,Yes,No,0
7479,Landing Page Submission,Google,7.0,20,2.33,Page Visited on Website,Might be,Mumbai,Modified,Yes,No,0
7480,Lead Add Form,Reference,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,1
7481,API,Olark Chat,0.0,0,0.0,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,No,No,0
7482,Lead Add Form,Welingak Website,0.0,0,0.0,SMS Sent,High in Relevance,Mumbai,SMS Sent,No,No,1
7483,Landing Page Submission,Organic Search,8.0,191,4.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,0
7484,Landing Page Submission,Direct Traffic,4.0,54,4.0,SMS Sent,Might be,Mumbai,SMS Sent,Yes,No,0
7485,Landing Page Submission,Direct Traffic,2.0,127,2.0,Email Opened,Not Sure,Other Cities,Email Opened,No,No,0
7486,Landing Page Submission,Direct Traffic,11.0,1049,2.2,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
7487,Landing Page Submission,Organic Search,3.0,356,3.0,Email Bounced,Not Sure,Mumbai,Modified,Yes,Yes,0
7488,API,Google,2.0,86,1.0,Olark Chat Conversation,Worst,Mumbai,Modified,No,Yes,0
7489,API,Google,10.0,1618,2.0,SMS Sent,Not Sure,Thane & Outskirts,Modified,No,No,1
7490,Landing Page Submission,Google,5.0,1335,5.0,SMS Sent,Low in Relevance,Mumbai,SMS Sent,No,No,1
7491,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Worst,Mumbai,Modified,No,No,0
7492,API,Google,2.0,1319,2.0,Email Opened,High in Relevance,Other Cities of Maharashtra,Email Opened,No,No,1
7493,API,Olark Chat,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
7494,API,Organic Search,7.0,159,7.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,0
7495,API,Olark Chat,0.0,0,0.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,1
7496,Landing Page Submission,Google,6.0,1522,3.0,SMS Sent,Might be,Thane & Outskirts,SMS Sent,No,No,1
7497,Landing Page Submission,Organic Search,4.0,452,4.0,SMS Sent,Not Sure,Other Cities,Modified,Yes,No,1
7498,Landing Page Submission,Organic Search,6.0,36,3.0,SMS Sent,High in Relevance,Other Metro Cities,SMS Sent,Yes,No,1
7499,API,Google,2.0,327,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
7500,Landing Page Submission,Google,4.0,117,4.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
7501,API,Organic Search,9.0,1018,3.0,Page Visited on Website,Might be,Other Cities,Page Visited on Website,No,No,1
7502,Landing Page Submission,Direct Traffic,2.0,155,2.0,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,Yes,No,0
7503,Landing Page Submission,Direct Traffic,3.0,77,3.0,SMS Sent,Might be,Other Cities of Maharashtra,SMS Sent,Yes,No,1
7504,Landing Page Submission,Direct Traffic,1.0,343,1.0,Converted to Lead,Might be,Mumbai,Modified,Yes,No,0
7505,Landing Page Submission,Press_Release,12.0,1252,12.0,Page Visited on Website,Not Sure,Mumbai,Modified,Yes,Yes,0
7506,Landing Page Submission,Direct Traffic,3.0,755,3.0,Email Opened,Low in Relevance,Mumbai,Email Opened,Yes,No,1
7507,Landing Page Submission,Direct Traffic,2.0,1392,2.0,Page Visited on Website,Worst,Mumbai,Page Visited on Website,Yes,No,0
7508,API,Organic Search,7.0,248,7.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,1
7509,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
7510,Landing Page Submission,Direct Traffic,2.0,233,2.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,0
7511,Landing Page Submission,Direct Traffic,2.0,377,2.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
7512,Landing Page Submission,Direct Traffic,5.0,433,5.0,SMS Sent,Not Sure,Other Cities,SMS Sent,Yes,Yes,0
7513,Landing Page Submission,Direct Traffic,1.0,141,1.0,Email Bounced,Not Sure,Mumbai,Modified,Yes,Yes,0
7514,API,Olark Chat,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,0
7515,Landing Page Submission,Direct Traffic,3.0,813,1.5,SMS Sent,Low in Relevance,Thane & Outskirts,SMS Sent,Yes,No,1
7516,Landing Page Submission,Organic Search,7.0,1585,1.4,Email Link Clicked,Not Sure,Other Cities of Maharashtra,Email Link Clicked,Yes,No,1
7517,API,Olark Chat,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
7518,API,Olark Chat,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,0
7519,Landing Page Submission,Google,4.0,13,4.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,0
7520,Landing Page Submission,Organic Search,6.0,981,6.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,1
7521,API,Organic Search,3.0,1622,3.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,1
7522,Landing Page Submission,Direct Traffic,4.0,395,1.33,Email Opened,Might be,Thane & Outskirts,Email Opened,No,No,0
7523,API,Olark Chat,0.0,0,0.0,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
7524,API,Olark Chat,2.0,298,2.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,Yes,No,0
7525,Lead Add Form,Google,0.0,0,0.0,Unsubscribed,Might be,Mumbai,Unsubscribed,No,Yes,1
7526,Landing Page Submission,Google,4.0,665,4.0,SMS Sent,High in Relevance,Mumbai,SMS Sent,No,No,1
7527,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,Yes,0
7528,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
7529,Landing Page Submission,Google,3.0,952,3.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,0
7530,Landing Page Submission,Direct Traffic,3.0,50,3.0,Email Opened,Not Sure,Other Cities,Email Opened,No,No,0
7531,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
7532,Landing Page Submission,Direct Traffic,4.0,449,4.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,0
7533,API,Organic Search,2.0,261,2.0,Email Bounced,Not Sure,Mumbai,Modified,No,Yes,0
7534,Landing Page Submission,Organic Search,9.0,939,9.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,Yes,No,0
7535,Landing Page Submission,Google,2.0,418,2.0,Email Link Clicked,Worst,Mumbai,Modified,Yes,No,0
7536,Landing Page Submission,Direct Traffic,5.0,1978,5.0,Email Opened,High in Relevance,Mumbai,Email Opened,Yes,No,1
7537,Lead Add Form,Reference,27.0,350,5.4,Email Opened,High in Relevance,Thane & Outskirts,Email Opened,No,No,1
7538,Landing Page Submission,Google,2.0,1410,2.0,Email Opened,Worst,Other Cities,Modified,No,No,0
7539,Landing Page Submission,Direct Traffic,4.0,475,4.0,SMS Sent,Might be,Mumbai,SMS Sent,Yes,No,1
7540,Landing Page Submission,Google,4.0,183,4.0,SMS Sent,Not Sure,Other Cities of Maharashtra,Modified,No,Yes,0
7541,API,Olark Chat,4.0,77,2.0,Page Visited on Website,Worst,Mumbai,Page Visited on Website,No,No,0
7542,Landing Page Submission,Direct Traffic,1.0,300,1.0,Converted to Lead,Might be,Mumbai,Modified,Yes,No,0
7543,Landing Page Submission,Google,2.0,599,2.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
7544,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Worst,Mumbai,Modified,No,No,0
7545,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Worst,Mumbai,Modified,No,No,0
7546,Landing Page Submission,Organic Search,9.0,846,9.0,SMS Sent,High in Relevance,Thane & Outskirts,SMS Sent,Yes,No,1
7547,API,Organic Search,23.0,1295,3.29,Email Opened,Not Sure,Other Metro Cities,Email Opened,No,No,1
7548,API,Google,2.0,1105,2.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
7549,API,Olark Chat,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,0
7550,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Worst,Mumbai,Modified,No,No,0
7551,API,Google,5.0,404,5.0,Olark Chat Conversation,Worst,Mumbai,Olark Chat Conversation,No,No,0
7552,Landing Page Submission,Direct Traffic,3.0,886,3.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
7553,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
7554,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7555,Landing Page Submission,Organic Search,9.0,155,1.5,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
7556,Landing Page Submission,Direct Traffic,3.0,1019,3.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,1
7557,API,Google,2.0,36,2.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,Yes,0
7558,Landing Page Submission,Direct Traffic,1.0,504,1.0,Email Bounced,Not Sure,Other Cities of Maharashtra,Modified,No,Yes,0
7559,Landing Page Submission,Organic Search,4.0,237,4.0,SMS Sent,Might be,Other Cities,SMS Sent,No,No,0
7560,API,Google,6.0,20,6.0,Olark Chat Conversation,Worst,Mumbai,Olark Chat Conversation,No,No,0
7561,Landing Page Submission,Direct Traffic,3.0,1421,3.0,Olark Chat Conversation,High in Relevance,Thane & Outskirts,Olark Chat Conversation,Yes,No,0
7562,API,Olark Chat,0.0,0,0.0,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,No,No,0
7563,Landing Page Submission,Organic Search,2.0,1790,2.0,Email Bounced,Worst,Thane & Outskirts,Modified,No,Yes,0
7564,Landing Page Submission,Direct Traffic,3.0,986,3.0,SMS Sent,Not Sure,Other Cities,SMS Sent,Yes,No,0
7565,Lead Add Form,Reference,2.0,252,1.0,Page Visited on Website,High in Relevance,Mumbai,Modified,No,No,1
7566,Landing Page Submission,Google,4.0,1200,4.0,SMS Sent,Might be,Other Cities,SMS Sent,Yes,No,1
7567,Landing Page Submission,Google,6.0,461,2.0,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,0
7568,Landing Page Submission,Direct Traffic,2.0,364,2.0,Email Opened,Worst,Other Cities,Email Opened,Yes,No,0
7569,API,Google,2.0,42,2.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7570,Landing Page Submission,Google,4.0,370,4.0,SMS Sent,Might be,Thane & Outskirts,SMS Sent,No,No,1
7571,Landing Page Submission,Google,3.0,139,3.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7572,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,0
7573,API,Google,3.0,59,3.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
7574,Landing Page Submission,Google,3.0,329,3.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
7575,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,0
7576,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,0
7577,API,Olark Chat,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
7578,API,Organic Search,6.0,139,3.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,0
7579,Lead Add Form,Reference,3.0,1357,2.0,Email Opened,High in Relevance,Mumbai,Modified,No,No,1
7580,Landing Page Submission,Organic Search,8.0,510,8.0,Email Bounced,Not Sure,Mumbai,Modified,Yes,Yes,0
7581,Landing Page Submission,Organic Search,3.0,422,3.0,Email Bounced,Worst,Mumbai,Modified,No,Yes,0
7582,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7583,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
7584,API,Google,3.0,425,1.5,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7585,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,Yes,0
7586,API,Google,2.0,35,1.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7587,Landing Page Submission,Direct Traffic,2.0,308,2.0,Email Link Clicked,Might be,Tier II Cities,Modified,Yes,No,0
7588,Landing Page Submission,Direct Traffic,4.0,30,4.0,SMS Sent,Not Sure,Mumbai,Modified,Yes,No,1
7589,Landing Page Submission,Direct Traffic,1.0,1077,1.0,Converted to Lead,Worst,Mumbai,Modified,Yes,No,0
7590,Landing Page Submission,Organic Search,11.0,282,11.0,Olark Chat Conversation,Worst,Tier II Cities,Modified,No,No,0
7591,API,Google,2.0,60,2.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,0
7592,Landing Page Submission,Google,3.0,1576,3.0,Email Opened,Not Sure,Other Metro Cities,Modified,No,No,0
7593,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
7594,Landing Page Submission,Direct Traffic,3.0,210,3.0,Email Bounced,Might be,Mumbai,Modified,Yes,Yes,0
7595,API,Google,2.0,1090,1.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,1
7596,Lead Add Form,Reference,0.0,0,0.0,Email Opened,High in Relevance,Mumbai,Modified,No,No,1
7597,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,Yes,0
7598,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7599,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7600,Landing Page Submission,Organic Search,9.0,113,2.25,Email Opened,Not Sure,Mumbai,Modified,Yes,No,0
7601,Landing Page Submission,Direct Traffic,2.0,154,2.0,SMS Sent,Not Sure,Other Metro Cities,SMS Sent,Yes,No,0
7602,API,Olark Chat,0.0,0,0.0,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,No,No,0
7603,Landing Page Submission,Direct Traffic,3.0,42,3.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,Yes,0
7604,Landing Page Submission,Direct Traffic,2.0,0,2.0,SMS Sent,Not Sure,Other Cities of Maharashtra,SMS Sent,Yes,Yes,0
7605,API,Olark Chat,0.0,0,0.0,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,No,No,0
7606,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
7607,Landing Page Submission,Direct Traffic,2.0,1391,2.0,Email Opened,Not Sure,Other Cities,Modified,Yes,No,0
7608,Landing Page Submission,Organic Search,9.0,285,4.5,Email Opened,Not Sure,Other Cities,Email Opened,No,No,0
7609,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
7610,Landing Page Submission,Direct Traffic,6.0,198,6.0,SMS Sent,Not Sure,Other Cities of Maharashtra,SMS Sent,No,No,0
7611,Landing Page Submission,Direct Traffic,2.0,20,2.0,SMS Sent,Not Sure,Mumbai,Modified,Yes,No,0
7612,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
7613,Landing Page Submission,Direct Traffic,3.0,176,3.0,Page Visited on Website,Not Sure,Mumbai,Modified,Yes,Yes,0
7614,Landing Page Submission,Organic Search,10.0,613,10.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,Yes,0
7615,Landing Page Submission,Direct Traffic,2.0,148,2.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
7616,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
7617,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,0
7618,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
7619,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,0
7620,Landing Page Submission,Google,4.0,207,4.0,Email Opened,High in Relevance,Mumbai,Modified,Yes,No,1
7621,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
7622,Landing Page Submission,Organic Search,8.0,55,4.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,0
7623,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7624,Landing Page Submission,Direct Traffic,2.0,181,2.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
7625,Landing Page Submission,Direct Traffic,2.0,1621,2.0,Email Opened,Not Sure,Other Cities of Maharashtra,Email Opened,Yes,No,0
7626,Landing Page Submission,Google,5.0,37,2.5,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
7627,Landing Page Submission,Google,5.0,1862,5.0,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
7628,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
7629,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,0
7630,Landing Page Submission,Direct Traffic,2.0,1255,2.0,SMS Sent,Not Sure,Mumbai,Modified,Yes,No,0
7631,Landing Page Submission,Direct Traffic,2.0,1438,2.0,SMS Sent,Might be,Other Cities,SMS Sent,Yes,No,1
7632,API,Organic Search,1.0,348,1.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
7633,Landing Page Submission,Direct Traffic,2.0,1095,2.0,Email Opened,Low in Relevance,Tier II Cities,Email Opened,Yes,No,1
7634,API,Olark Chat,2.0,278,1.0,Form Submitted on Website,Not Sure,Mumbai,Modified,No,No,0
7635,Landing Page Submission,Direct Traffic,1.0,345,1.0,Email Bounced,Worst,Thane & Outskirts,Modified,Yes,Yes,0
7636,Landing Page Submission,Google,9.0,1638,9.0,Email Opened,Might be,Mumbai,Modified,No,No,1
7637,Landing Page Submission,Organic Search,6.0,309,3.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,0
7638,Landing Page Submission,Direct Traffic,5.0,355,5.0,SMS Sent,Not Sure,Mumbai,Modified,Yes,No,0
7639,Landing Page Submission,Direct Traffic,2.0,231,2.0,Page Visited on Website,Worst,Mumbai,Page Visited on Website,Yes,No,0
7640,Landing Page Submission,Direct Traffic,2.0,1245,2.0,Form Submitted on Website,Not Sure,Mumbai,Modified,Yes,No,0
7641,Landing Page Submission,Direct Traffic,2.0,1818,2.0,SMS Sent,High in Relevance,Mumbai,SMS Sent,Yes,No,1
7642,API,Direct Traffic,2.0,1745,2.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,0
7643,Landing Page Submission,Direct Traffic,1.0,229,1.0,Email Bounced,Not Sure,Other Metro Cities,Email Bounced,No,Yes,0
7644,Landing Page Submission,Direct Traffic,2.0,1221,2.0,SMS Sent,Not Sure,Other Cities,SMS Sent,Yes,No,1
7645,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
7646,Landing Page Submission,Direct Traffic,4.0,359,1.33,SMS Sent,Not Sure,Tier II Cities,SMS Sent,Yes,No,0
7647,Landing Page Submission,Direct Traffic,4.0,158,4.0,Email Link Clicked,Not Sure,Mumbai,Modified,No,Yes,0
7648,Landing Page Submission,Direct Traffic,11.0,269,1.83,Email Opened,Worst,Mumbai,Email Opened,Yes,No,0
7649,Landing Page Submission,Google,3.0,270,1.5,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
7650,Landing Page Submission,Direct Traffic,4.0,69,4.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,1
7651,API,Olark Chat,2.0,1067,1.0,Email Opened,Not Sure,Other Cities of Maharashtra,Email Opened,Yes,No,0
7652,Landing Page Submission,Organic Search,4.0,1462,4.0,SMS Sent,Might be,Other Cities of Maharashtra,SMS Sent,Yes,No,1
7653,Landing Page Submission,Organic Search,12.0,908,4.0,Email Opened,Low in Relevance,Other Metro Cities,Email Opened,Yes,No,1
7654,Landing Page Submission,Direct Traffic,2.0,96,2.0,SMS Sent,Not Sure,Other Cities,SMS Sent,Yes,No,0
7655,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
